Video ID,model,me,timestamp (시작시간),transcript
KqNCKcQzKf4,FALSE,FALSE,9.160527607,Is that what you call this?
KqNCKcQzKf4,FALSE,FALSE,15.66057055,Is this the English one nein all right disgusting?
KqNCKcQzKf4,FALSE,FALSE,27.69768712,"The only thing that is disgusting, I can't swear goodnight."
KqNCKcQzKf4,TRUE,TRUE,19.77,"That's [ __ ] disgusting, oh [, __, ], I, know okay, man."
KqNCKcQzKf4,FALSE,FALSE,30.05809859,"What's your deal, how are you here?"
KqNCKcQzKf4,FALSE,FALSE,36.37535211,"Let me tell you my secret I'm, actually um she's, like dude."
KqNCKcQzKf4,TRUE,TRUE,33.63,"You're [ __ ] nuts, with no seriously I'm spider-man."
KqNCKcQzKf4,FALSE,TRUE,40.59934132,"Are you a basketball fan? Firstly, I?"
KqNCKcQzKf4,FALSE,FALSE,45.33323353,"Am the basketball I'd like to meet Winston Churchill, it's just such a badass and."
KqNCKcQzKf4,FALSE,FALSE,45.21,"He's so English, you know he's just like the most English English brothers ever bit."
KqNCKcQzKf4,FALSE,FALSE,56.90626131,"Would you rather and then full-sized penis or a penis sizes, new penis size nipples?"
KqNCKcQzKf4,TRUE,TRUE,68.60252261,You just have that [ __ ] cut off.
KqNCKcQzKf4,FALSE,FALSE,59.219,You know there was a few things that I couldn't do. There's one.
KqNCKcQzKf4,FALSE,FALSE,70.04392727,There was like some time where they dangled my for stunt double under a helicopter and dumped him in a.
KqNCKcQzKf4,TRUE,TRUE,72.06,"Lake, damn it this is live, isn't it so at one point, spider-man ends up in a lake I, don't get paid enough for that [, __, ], sorry again again, I can't help it I'm. Sorry, let's."
KqNCKcQzKf4,TRUE,TRUE,87.02,This guy's a freak like the hell.
KqNCKcQzKf4,FALSE,FALSE,93.51751553,This is fake and then I read it again.
KqNCKcQzKf4,FALSE,TRUE,100.9995031,I was like this is holy Sh I didn't I didn't swear.
KqNCKcQzKf4,FALSE,FALSE,111.041118,"I was like, oh, my god. This is crazy. This."
KqNCKcQzKf4,FALSE,TRUE,97.97,"Is amazing, the trained actors, one of our directors card to me and give me a note and, like you get it on, like yeah I'm, a trained actor."
KqNCKcQzKf4,FALSE,FALSE,121.792327,"My every time, I looked in."
KqNCKcQzKf4,TRUE,TRUE,116.96,"The bin I'm, like oh, my god, oh my god, she's not for [ __ ] sake, Tom, stop it."
KqNCKcQzKf4,TRUE,TRUE,137.5350658,So this [ __ ] stopped on the freeway you trying to lose it. We're done! You're.
KqNCKcQzKf4,FALSE,FALSE,136.1,"Done, okay, I mean you know, you have to leave [Music]."
_ZSOE-CM2UA,FALSE,FALSE,8.13,"Fuller figure that seems entirely normal natural and right, more cushion for the pushin as I believe people say, I."
